State,Zone,malaria_prev_2021,itn_ownership_2021,itn_access_2021,itn_use_children_2021,iptp2_2021,iptp3_2021,anaemia_2021,diag_test_2021,malaria_msg_2021,malaria_prev_2018,malaria_rdt_2018,iptp2_2018,iptp3_2018,malaria_prev_2015,itn_ownership_2015,iptp2_2015,iptp3_2015,anaemia_2015,malaria_msg_2015
Abia,South East,15.0,30.0,24.0,30.0,83.0,51.0,7.0,14.0,45.0,13.5,20.7,85.3,73.7,8.0,52.0,36.0,24.0,51.0,45.0
Adamawa,North East,11.0,90.0,74.0,51.0,54.0,42.0,5.0,28.0,61.0,21.1,38.9,37.6,4.4,35.0,71.0,31.0,22.0,68.0,12.0
Akwa Ibom,South South,30.0,41.0,28.0,24.0,30.0,7.0,9.0,13.0,49.0,23.2,33.2,44.5,16.5,23.0,74.0,26.0,12.0,73.0,60.0
Anambra,South East,5.0,27.0,19.0,30.0,77.0,52.0,3.0,14.0,86.0,8.8,15.2,65.9,43.4,10.0,75.0,43.0,20.0,49.0,47.0
Bauchi,North East,32.0,73.0,54.0,51.0,29.0,19.0,12.0,28.0,17.0,30.6,48.6,40.1,14.6,20.0,97.0,42.0,18.0,62.0,39.0
Bayelsa,South South,17.0,32.0,21.0,24.0,39.0,25.0,1.0,13.0,32.0,12.5,30.1,14.2,7.2,31.0,45.0,28.0,9.0,76.0,24.0
Benue,North Central,18.0,75.0,58.0,31.0,59.0,48.0,7.0,24.0,39.0,12.7,26.0,47.5,17.6,45.0,42.0,37.0,21.0,67.0,26.0
Borno,North East,6.0,47.0,32.0,51.0,61.0,42.0,6.0,28.0,40.0,10.0,16.2,41.2,9.1,30.333333333333332,64.0,77.0,45.0,38.0,20.0
Cross River,South South,24.0,53.0,42.0,24.0,62.0,49.0,2.0,13.0,50.0,19.5,26.4,75.1,32.6,26.0,83.0,56.0,31.0,79.0,47.0
Delta,South South,10.0,31.0,23.0,24.0,50.0,38.0,3.0,13.0,37.0,17.0,24.9,40.1,15.1,20.0,43.0,14.0,4.0,59.0,29.0
Ebonyi,South East,26.0,66.0,52.0,30.0,82.0,43.0,4.0,14.0,57.0,30.5,49.3,47.0,24.2,30.0,89.0,44.0,41.0,74.0,43.0
Edo,South South,23.0,28.0,23.0,24.0,56.0,26.0,3.0,13.0,23.0,14.7,19.1,67.1,47.1,19.0,39.0,75.0,36.0,64.0,21.0
