State,Zone,malaria_prev_2021,predicted_prevalence,risk_class_2021
Kebbi,North West,49.0,43.10333333333333,High
Zamfara,North West,37.0,35.63333333333333,Medium
Sokoto,North West,36.0,34.3,Medium
Bauchi,North East,32.0,31.179059523809524,Medium
Akwa Ibom,South South,30.0,27.535833333333336,Medium
Katsina,North West,29.0,31.814333333333334,Medium
Ondo,South West,27.0,25.833559523809523,Medium
Ebonyi,South East,26.0,21.922904761904764,Medium
Kano,North West,26.0,28.36847619047619,Medium
Jigawa,North West,25.0,19.539369047619047,Medium
